article_the_m_p	der
article_the_m	der
article_the_f_p	die
article_the_f	die
article_of	von
article_of_m_p	von
article_of_m	von
article_of_f_p	von
article_of_f	von
verb_is_p	ist
verb_is	ist
The Observatory of Economic Complexity	Das Observatorium für Wirtschaftliche Komplexität
We are the world's<br/>leading visualization engine<br/>for international trade data.	Wir sind das weltweit<br/>führende Visualisierungstool für<br/> internationale Handelsdaten.
Learn More	Erfahren Sie mehr
Search	Suche
Application programming interface (API) for querying the raw data used throughout The Observatory of Economic Complexity.	Programmierschnittstelle (API) für die Abfrage der vom Observatorium für ökonomische Komplexität benutzten Rohdaten
Books	Bücher
Photo by	Foto von
Countries	Die Länder
Products	Produkte
Visualizations	Visualisierungen
Rankings	Rankings
Publications	Veröffentlichungen
Resources	Ressourcen
About the Site	Über die Seite
Economic Complexity	Wirtschaftliche Komplexität
FAQs	Häufig gestellte Fragen
Data Sources	Datenquellen
Permissions	Berechtigungen
API	API
Take a tour	Machen Sie eine Tour
Prev. Year	Vorheriges Jahr
Rankings	 Rankings
Click here for Product Rankings	Klicken Sie hier für das Ranking der Produkte
Product Complexity	Produktkomplexität
Click here for Country Rankings	Klicken Sie hier für das Länderranking
Next Year	Nächstes Jahr
Previous Year	Vorjahr
Dataset	Datensatz
Year	Jahr
Depth	Tiefe
Download Current Year	Daten des aktuelles Jahres herunterladen
Download All Years	Alle Jahre herunterladen
Photos and descriptions of the team members involved in the creation of The Observatory.	Fotos und Beschreibungen der Teammitglieder, welche an der Erstellung des Observatorium für wirtschaftliche Entwicklung beteiligt waren.
About the Observatory	Über das Observatorium
Current Team	Aktuelles Team
Past Contributors	Frühere Mitwirkende
HS, SITC, and Country classification with their corresponding IDs and values.	HS, SITC und Länderklassifizierung mit den entsprechenden IDs und Werten.
What is Economic Complexity?	Was ist Wirtschaftliche Komplexität?
How is Economic Complexity calculated?	Wie wird die Wirtschaftliche Komplexität berechnet?
Who makes what?	Wer macht was?
Frequently Asked Questions	Häufig gestellte Fragen
A Development blog of updates to the site.	Ein Entwicklerblog über Updates der Website
Home	zu Hause
An emedded visualization.	Eine eingebettete Visualisierung.
Data visualization of economic trade	Visualisierung der Handelsdaten
Build Visualization	Visualisierung wird erstellt
Select Trade Scenario	Handelsszenario wählen
Profile	Profil
and	und
Econ Complexity	Wirtschaftliche Komplexität
Exports	Exporte
Imports	Importe
GDP Per Capita	Pro-Kopf Einkommen
%(country_is)s the %(econ_rank)s largest export economy in the world	%(country_is)s ist das %(econ_rank)s größte Exportland der Welt
 and the %(eci_rank)s most complex economy according to the Economic Complexity Index (ECI). 	 und die %(eci_rank)s komplexeste Wirtschaft gemäß dem Index der Wirtschaftlichen Komplexität. 
In %(year)s, %(country)s exported $%(export_val)s and imported $%(import_val)s, resulting in a %(positive_negative)s trade balance of $%(trade_delta)s. 	Im Jahr %(year)s exportierte %(country)s $ %(export_val)s und importierte Gütter im Wert von $ %(import_val)s, was zu einer %(positive_negative)s Handelsbilanz von $ %(trade_delta)s. 
In %(year)s the GDP %(of_country)s was $%(gdp)s and its GDP per capita was $%(gdp_pc)s.	Im Jahr %(year)s war das BIP von %(of_country)s $ %(gdp)s hoch und das Pro-Kopf-Einkommen %(gdp_pc)s $.
